finding_check_id,framework,control_id,control_title,requirement,mapping_strength,notes
s3_bucket_public_access,DPDP Act 2023,Section 8,Security safeguards,Data fiduciary shall protect personal data by taking reasonable security safeguards,Direct,Public data exposure violates security safeguards
s3_bucket_default_encryption,DPDP Act 2023,Section 8,Security safeguards,Encryption of personal data at rest,Direct,Data at rest protection
rds_instance_publicly_accessible,DPDP Act 2023,Section 8,Security safeguards,Database containing personal data must be secured,Direct,Public database exposes personal data
rds_instance_storage_encrypted,DPDP Act 2023,Section 8,Security safeguards,Encryption of personal data at rest,Direct,Database encryption requirement
ec2_ebs_volume_encryption,DPDP Act 2023,Section 8,Security safeguards,Encryption of personal data at rest on compute resources,Direct,Compute encryption
ec2_securitygroup_allow_ingress_from_internet_to_any_port,DPDP Act 2023,Section 8,Security safeguards,Network access controls for systems processing personal data,Direct,Network security
cloudtrail_multi_region_enabled,DPDP Act 2023,Section 9,Notification of personal data breach,Data fiduciary shall notify breach - requires audit logging,Direct,Audit logging for breach detection
cloudtrail_log_file_validation_enabled,DPDP Act 2023,Section 9,Notification of personal data breach,Log integrity for forensics,Direct,Log integrity for breach investigation
s3_bucket_server_access_logging_enabled,DPDP Act 2023,Section 8,Security safeguards,Access logging to personal data,Direct,Access audit trail
s3_bucket_public_access,DPDP Act 2023,Section 4,Grounds for processing personal data,Personal data must only be processed with lawful basis,Partial,Unauthorized public access violates consent
iam_policy_attached_only_to_group_or_roles,DPDP Act 2023,Section 8,Security safeguards,Access control to personal data,Direct,Least privilege for personal data access
iam_user_mfa_enabled_console_access,DPDP Act 2023,Section 8,Security safeguards,Strong authentication for personal data access,Direct,MFA for personal data access
rds_instance_backup_enabled,DPDP Act 2023,Section 8,Security safeguards,Data availability and recovery,Direct,Backup for data availability
s3_bucket_versioning_enabled,DPDP Act 2023,Section 12,Rights of data principal,Right to correction and erasure,Partial,Versioning supports correction rights
