finding_check_id,framework,control_id,control_title,requirement,mapping_strength,notes
s3_bucket_public_access,HIPAA,164.308(a)(3)(i),Workforce Security,Implement policies and procedures to ensure appropriate access to ePHI,Direct,Public S3 exposes ePHI
s3_bucket_default_encryption,HIPAA,164.312(a)(2)(iv),Encryption and Decryption,Implement a mechanism to encrypt and decrypt ePHI,Direct,ePHI encryption at rest
s3_bucket_default_encryption,HIPAA,164.312(e)(2)(ii),Encryption,Implement a mechanism to encrypt ePHI whenever deemed appropriate,Direct,ePHI encryption requirement
ec2_ebs_volume_encryption,HIPAA,164.312(a)(2)(iv),Encryption and Decryption,ePHI encryption on compute storage,Direct,Compute-level encryption for ePHI
rds_instance_storage_encrypted,HIPAA,164.312(a)(2)(iv),Encryption and Decryption,Database encryption for ePHI,Direct,Database ePHI encryption
rds_instance_publicly_accessible,HIPAA,164.312(a)(1),Access Control,Implement technical policies and procedures for electronic information systems,Direct,Public database exposes ePHI
ec2_securitygroup_allow_ingress_from_internet_to_any_port,HIPAA,164.312(a)(1),Access Control,Access control for ePHI systems,Direct,Network access controls
cloudtrail_multi_region_enabled,HIPAA,164.312(b),Audit Controls,Implement mechanisms that record and examine activity in ePHI systems,Direct,Audit logging for ePHI access
cloudtrail_log_file_validation_enabled,HIPAA,164.312(c)(1),Integrity,Implement policies to protect ePHI from improper alteration or destruction,Direct,Log integrity
s3_bucket_server_access_logging_enabled,HIPAA,164.312(b),Audit Controls,Access logging for ePHI systems,Direct,S3 access audit trail
rds_instance_backup_enabled,HIPAA,164.308(a)(7)(ii)(A),Data Backup Plan,Establish procedures to create and maintain retrievable exact copies of ePHI,Direct,ePHI backup requirement
s3_bucket_versioning_enabled,HIPAA,164.308(a)(7)(ii)(A),Data Backup Plan,Data recovery capability,Direct,Version-based backup
iam_policy_attached_only_to_group_or_roles,HIPAA,164.308(a)(4),Information Access Management,Implement policies to authorize access to ePHI,Direct,Access management
iam_user_accesskey_unused,HIPAA,164.308(a)(5)(ii)(D),Password Management,Procedures for creating changing and safeguarding passwords/credentials,Direct,Credential management
iam_user_mfa_enabled_console_access,HIPAA,164.312(d),Person or Entity Authentication,Verify person or entity accessing ePHI is who claimed,Direct,User authentication with MFA
iam_root_mfa_enabled,HIPAA,164.312(d),Person or Entity Authentication,MFA for privileged accounts,Direct,Root account MFA
